CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1982299b8812   app                                            0.00%     11.2MiB / 1GiB      1.09%     19.4MB / 11.8MB   0B / 12.3kB       16
68e199316701   mysql_db                                       0.68%     401.4MiB / 512MiB   78.40%    4.75MB / 11.8MB   2.48MB / 15.4MB   58
aa8294adbc56   redis                                          0.18%     2.707MiB / 256MiB   1.06%     19.1kB / 447B     61.4kB / 0B       5
fcacb1271c4b   load-testing-from-scratch-load_test_server-1   0.00%     34.02MiB / 2GiB     1.66%     7.07MB / 7.58MB   12.3kB / 16.4kB   20
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1982299b8812   app                                            0.00%     11.2MiB / 1GiB      1.09%     19.4MB / 11.8MB   0B / 12.3kB       16
68e199316701   mysql_db                                       0.67%     401.4MiB / 512MiB   78.40%    4.75MB / 11.8MB   2.48MB / 15.4MB   58
aa8294adbc56   redis                                          0.18%     2.707MiB / 256MiB   1.06%     19.1kB / 447B     61.4kB / 0B       5
fcacb1271c4b   load-testing-from-scratch-load_test_server-1   0.00%     34.02MiB / 2GiB     1.66%     7.07MB / 7.58MB   12.3kB / 16.4kB   20
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1982299b8812   app                                            0.00%     11.2MiB / 1GiB      1.09%     19.4MB / 11.8MB   0B / 12.3kB       16
68e199316701   mysql_db                                       2.83%     401.4MiB / 512MiB   78.40%    4.78MB / 11.9MB   2.48MB / 15.4MB   58
aa8294adbc56   redis                                          0.16%     2.957MiB / 256MiB   1.16%     19.1kB / 447B     61.4kB / 0B       5
fcacb1271c4b   load-testing-from-scratch-load_test_server-1   2.83%     33.74MiB / 2GiB     1.65%     7.11MB / 7.63MB   12.3kB / 16.4kB   20
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1982299b8812   app                                            5.12%     14.64MiB / 1GiB     1.43%     20.1MB / 12.2MB   0B / 12.3kB       16
68e199316701   mysql_db                                       4.72%     401.4MiB / 512MiB   78.40%    4.9MB / 12.2MB    2.48MB / 15.4MB   58
aa8294adbc56   redis                                          0.19%     2.707MiB / 256MiB   1.06%     19.1kB / 447B     61.4kB / 0B       5
fcacb1271c4b   load-testing-from-scratch-load_test_server-1   2.54%     36.11MiB / 2GiB     1.76%     7.25MB / 7.78MB   12.3kB / 16.4kB   20
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1982299b8812   app                                            6.30%     16.17MiB / 1GiB     1.58%     20.6MB / 12.5MB   0B / 12.3kB       16
68e199316701   mysql_db                                       5.48%     401.4MiB / 512MiB   78.40%    5.02MB / 12.5MB   2.48MB / 15.4MB   58
aa8294adbc56   redis                                          0.16%     2.707MiB / 256MiB   1.06%     19.1kB / 447B     61.4kB / 0B       5
fcacb1271c4b   load-testing-from-scratch-load_test_server-1   8.11%     18.73MiB / 2GiB     0.91%     7.44MB / 7.99MB   12.3kB / 16.4kB   20
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1982299b8812   app                                            0.00%     15.9MiB / 1GiB      1.55%     20.7MB / 12.5MB   0B / 12.3kB       16
68e199316701   mysql_db                                       1.12%     401.4MiB / 512MiB   78.40%    5.05MB / 12.6MB   2.48MB / 15.4MB   58
aa8294adbc56   redis                                          0.26%     2.707MiB / 256MiB   1.06%     19.1kB / 447B     61.4kB / 0B       5
fcacb1271c4b   load-testing-from-scratch-load_test_server-1   0.22%     18.79MiB / 2GiB     0.92%     7.54MB / 8.09MB   12.3kB / 16.4kB   20
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1982299b8812   app                                            0.08%     15.9MiB / 1GiB      1.55%     20.7MB / 12.5MB   0B / 12.3kB       16
68e199316701   mysql_db                                       0.93%     401.4MiB / 512MiB   78.40%    5.05MB / 12.6MB   2.48MB / 15.4MB   58
aa8294adbc56   redis                                          0.24%     2.707MiB / 256MiB   1.06%     19.1kB / 447B     61.4kB / 0B       5
fcacb1271c4b   load-testing-from-scratch-load_test_server-1   0.00%     18.79MiB / 2GiB     0.92%     7.54MB / 8.09MB   12.3kB / 16.4kB   20
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1982299b8812   app                                            0.00%     15.9MiB / 1GiB      1.55%     20.7MB / 12.5MB   0B / 12.3kB       16
68e199316701   mysql_db                                       1.16%     401.4MiB / 512MiB   78.40%    5.05MB / 12.6MB   2.48MB / 15.4MB   58
